Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.18229914292056432,0.42679359579204634,0.22069514387695702,0.7866461803897554,167.2747561739982
Test,0.22048226488629305,0.4263230162910537,0.23563786626993974,-3.0325112179575653,200.90928133654302
