Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.049874356258294984,0.22329015905634816,0.13241264944772999,0.9416602554274146,67.22776565662397
Test,0.0976680886245713,0.2588285087447254,0.1575511522142218,0.09354088914192345,103.74759280900189
