Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.001703268962633521,0.041216404278660836,0.025659610265963785,0.9980044259058228,9.956662316537079
Test,0.08795772204682706,0.23808956147729848,0.13560465253238368,0.08948927820389636,91.73647003481918
