Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.001330502802978532,0.03643786348424598,0.019892387935133534,0.998443740393261,8.752956223494095
Test,0.0891518395064209,0.23097923395361625,0.13752324861031556,0.02503703009762358,92.60226506498947
