Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.18229914292056432,0.42679359579204634,0.22069514387643624,0.7866461803897554,167.2747561739982
Test,0.22048226488323955,0.42632301629236957,0.23563786626790426,-3.0325112174134614,200.90928133189527
