Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.0023363163004033933,0.04826006311393685,0.02875331062301213,0.9972725062001102,11.755380768930266
Test,0.08526553455550735,0.23124408100668972,0.13401910937367637,0.02831903200796425,89.34944427413164
