Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.18207578799920862,0.4266618200025679,0.20774077451086,0.7870587871449949,167.1175866472487
Test,0.20414178494690532,0.4150980720523466,0.2220387896077644,-0.8199326084870033,183.93846526899824
