Set,MSE,RMSE,MAE,R2,Deviation (%)
Training,0.0014495001413129776,0.038048563583471966,0.02179453837566945,0.9983045353773706,9.15676181046474
Test,0.07870175731730009,0.20945392000776022,0.12530374545027137,0.2701838856377578,84.24880258931087
